#,TICKER,COMPANY_NAME,MARKET_CAP,CLOSE,PREVIOUS_CLOSE,VOLUME,WK52_LOW,WK52_HIGH,ALL_TIME_HIGH,IPO_DATE,EARNINGS_DATE,SECTOR,INDUSTRY,EXCHANGE
1,NVDA,NVIDIA Corporation,5114022068224,211.14,214.25,230465710,135.4,236.54,236.54,917015400.0,1787774400,Technology,Semiconductors,NMS
2,GOOGL,Alphabet Inc.,4607987679232,380.34,390.13,44249622,162.0,408.61,408.61,1092922200.0,1777492800,Communication Services,Internet Content & Information,NMS
3,AAPL,Apple Inc.,4583336181760,312.06,312.51,56381546,195.07,315.0,315.0,345479400.0,1777579200,Technology,Consumer Electronics,NMS
4,MSFT,Microsoft Corporation,3344578379776,450.24,426.99,77168677,356.28,555.45,555.45,511108200.0,1777492800,Technology,Software - Infrastructure,NMS
5,AMZN,"Amazon.com, Inc.",2911304417280,270.64,274.0,54582943,196.0,278.56,278.56,863703000.0,1777492800,Consumer Cyclical,Internet Retail,NMS
6,AVGO,Broadcom Inc.,2115307700224,446.77,426.58,41606320,241.11,448.9,448.9,1249565400.0,1780516800,Technology,Semiconductors,NMS
7,TSLA,"Tesla, Inc.",1636706942976,435.79,442.1,44967971,273.21,498.83,498.83,1277818200.0,1776888000,Consumer Cyclical,Auto Manufacturers,NMS
8,META,"Meta Platforms, Inc.",1605578129408,632.51,635.29,19726619,520.26,796.25,796.25,1337347800.0,1777492800,Communication Services,Internet Content & Information,NMS
9,BRK-B,Berkshire Hathaway Inc.,1023384027136,474.48,477.42,4085243,455.19,516.85,542.07,831648600.0,1777752000,Financial Services,Insurance - Diversified,NYQ
10,MU,"Micron Technology, Inc.",1095029751808,971.0,923.52,60134240,94.4,981.0,981.0,454944600.0,1782331200,Technology,Semiconductors,NMS
11,LLY,Eli Lilly and Company,985374195712,1105.0,1126.8,2603115,623.78,1149.1,1149.1,76253400.0,1785933000,Healthcare,Drug Manufacturers - General,NYQ
12,WMT,Walmart Inc.,922642153472,115.75,118.9,41258461,93.43,135.16,135.16,83597400.0,1787229000,Consumer Defensive,Discount Stores,NMS
13,JPM,JPMorgan Chase & Co.,802004533248,299.31,296.73,7239863,260.31,337.25,337.25,322151400.0,1784032200,Financial Services,Banks - Diversified,NYQ
14,AMD,"Advanced Micro Devices, Inc.",841552887808,516.1,518.09,21772067,111.01,527.2,527.2,322151400.0,1778011200,Technology,Semiconductors,NMS
15,ASML,ASML Holding N.V.,621586219008,1612.76,1605.77,1062653,683.48,1654.2,1654.2,795277800.0,1784118600,Technology,Semiconductor Equipment & Materials,NMS
16,XOM,Exxon Mobil Corporation,602095026176,145.26,146.96,11148037,101.73,176.41,176.41,-252322200.0,1777638600,Energy,Oil & Gas Integrated,NYQ
17,V,Visa Inc.,620653051904,326.36,324.95,6048834,293.89,375.51,375.51,1205933400.0,1777406400,Financial Services,Credit Services,NYQ
18,INTC,Intel Corporation,576381648896,114.68,120.89,153853296,18.97,132.75,132.75,322151400.0,1776974400,Technology,Semiconductors,NMS
19,ORCL,Oracle Corporation,649353691136,225.78,203.7,40817031,134.57,345.72,345.72,511021800.0,1773172800,Technology,Software - Infrastructure,NYQ
20,JNJ,Johnson & Johnson,542418173952,225.33,230.8,6188580,149.04,251.71,251.71,-252322200.0,1784118600,Healthcare,Drug Manufacturers - General,NYQ
21,CSCO,"Cisco Systems, Inc.",474627538944,120.42,118.64,42092900,62.71,121.43,121.43,635178600.0,1786564800,Technology,Communication Equipment,NMS
22,COST,Costco Wholesale Corporation,424141291520,956.32,995.2,6143767,844.06,1096.5,1096.5,521299800.0,1779998400,Consumer Defensive,Discount Stores,NMS
23,MA,Mastercard Incorporated,436472774656,493.98,493.75,2641911,480.5,601.77,601.77,1148563800.0,1777552200,Financial Services,Credit Services,NYQ
24,CAT,Caterpillar Inc.,403418677248,875.87,887.67,5173043,339.5,931.35,931.35,-252322200.0,1785846600,Industrials,Farm & Heavy Construction Machinery,NYQ
25,LRCX,Lam Research Corporation,397906673664,318.18,318.0,10301241,80.43,333.33,333.33,452525400.0,1776888000,Technology,Semiconductor Equipment & Materials,NMS
26,ABBV,AbbVie Inc.,384666140672,217.72,218.63,3550230,181.73,244.81,244.81,1357137000.0,1777465800,Healthcare,Drug Manufacturers - General,NYQ
27,BAC,Bank of America Corporation,366184071168,51.6,50.77,52430331,43.36,57.55,57.55,99153000.0,1784032200,Financial Services,Banks - Diversified,NYQ
28,NFLX,"Netflix, Inc.",362212884480,86.02,86.36,35649267,75.01,134.115,134.115,1022160600.0,1776369600,Communication Services,Entertainment,NMS
29,CVX,Chevron Corporation,363386929152,182.46,183.03,13864236,136.43,214.71,214.71,-252322200.0,1777638600,Energy,Oil & Gas Integrated,NYQ
30,AMAT,"Applied Materials, Inc.",357329371136,450.06,449.68,6192070,154.47,462.4,462.4,322151400.0,1786651200,Technology,Semiconductor Equipment & Materials,NMS
31,KO,The Coca-Cola Company,339939131392,79.01,80.41,32408986,65.35,82.66,82.66,-252322200.0,1777379400,Consumer Defensive,Beverages - Non-Alcoholic,NYQ
32,UNH,UnitedHealth Group Incorporated,345376391168,380.31,382.53,10246752,234.6,404.15,630.73,466867800.0,1776774600,Healthcare,Healthcare Plans,NYQ
33,ARM,Arm Holdings plc,377341575168,353.29,335.27,10389003,100.02,356.45,356.45,1694698200.0,1778097600,Technology,Semiconductors,NMS
34,PG,The Procter & Gamble Company,334293663744,143.56,145.91,6711733,137.62,169.04,180.43,-252322200.0,1785328200,Consumer Defensive,Household & Personal Products,NYQ
35,GE,GE Aerospace,338274058240,323.76,320.82,9336276,232.24,348.48,348.48,-252322200.0,1784205000,Industrials,Aerospace & Defense,NYQ
36,PLTR,Palantir Technologies Inc.,375275192320,156.54,143.34,91550284,118.93,207.52,207.52,1601472600.0,1777924800,Technology,Software - Infrastructure,NMS
37,HSBC,HSBC Holdings plc,321494548480,93.74,92.95,1571032,58.14,95.22,99.52,932131800.0,1785846600,Financial Services,Banks - Diversified,NYQ
38,MS,Morgan Stanley,328075247616,208.0,203.79,5295744,126.36,208.08,208.08,730477800.0,1784118600,Financial Services,Capital Markets,NYQ
39,BABA,Alibaba Group Holding Limited,298020438016,124.22,126.16,12448653,103.71,192.67,319.32,1411133400.0,1778675400,Consumer Cyclical,Internet Retail,NYQ
40,HD,"The Home Depot, Inc.",316225585152,317.14,321.21,3340594,289.1,426.75,439.37,370013400.0,1787056200,Consumer Cyclical,Home Improvement Retail,NYQ
41,MRK,"Merck & Co., Inc.",293217566720,118.72,119.89,6324863,75.4,125.14,134.63,-252322200.0,1785846600,Healthcare,Drug Manufacturers - General,NYQ
42,TXN,Texas Instruments Incorporated,278197174272,305.68,315.95,16774373,152.73,331.51,331.51,76253400.0,1776888000,Technology,Semiconductors,NMS
43,GS,"The Goldman Sachs Group, Inc.",302547828736,1025.56,1008.37,1452824,592.17,1027.22,1027.22,925824600.0,1784032200,Financial Services,Capital Markets,NYQ
44,AZN,AstraZeneca PLC,287945981952,185.67,185.33,1250189,137.22,212.71,212.71,737213400.0,1785182400,Healthcare,Drug Manufacturers - General,NYQ
45,GEV,GE Vernova Inc.,260206952448,968.32,996.0,5269567,458.646,1181.95,1181.95,1711546200.0,1784723400,Industrials,Specialty Industrial Machinery,NYQ
46,NVS,Novartis AG,286538170368,150.17,151.4,1339033,112.34,170.46,170.46,847377000.0,1784637000,Healthcare,Drug Manufacturers - General,NYQ
47,PM,Philip Morris International Inc.,276457160704,177.38,178.57,2700562,142.11,193.05,193.05,1205760600.0,1784723400,Consumer Defensive,Tobacco,NYQ
48,RY,Royal Bank of Canada,263389986816,189.53,188.89,1590551,126.02,191.51,191.51,813850200.0,1787833800,Financial Services,Banks - Diversified,NYQ
49,KLAC,KLA Corporation,251028209664,1921.71,1927.63,1144431,751.96,2060.08,2060.08,339859800.0,1777492800,Technology,Semiconductor Equipment & Materials,NMS
50,QCOM,QUALCOMM Incorporated,264575090688,251.02,243.29,28744014,121.99,259.92,259.92,692634600.0,1777492800,Technology,Semiconductors,NMS
51,TM,Toyota Motor Corporation,247569121280,189.95,191.84,594526,167.18,248.9,255.23,322151400.0,1778243400,Consumer Cyclical,Auto Manufacturers,NYQ
52,RTX,RTX Corporation,241945149440,179.66,178.96,8741254,135.43,214.5,214.5,-244546200.0,1776774600,Industrials,Aerospace & Defense,NYQ
53,LIN,Linde plc,230105628672,497.69,501.98,4326107,387.78,521.28,521.28,708787800.0,1777638600,Basic Materials,Specialty Chemicals,NMS
54,WFC,Wells Fargo & Company,237287096320,77.54,76.65,11074132,71.93,97.76,97.76,76253400.0,1784032200,Financial Services,Banks - Diversified,NYQ
55,SHEL,Shell plc,233803776000,84.12,83.83,7179523,66.82,94.9,94.9,447949800.0,1785414600,Energy,Oil & Gas Integrated,NYQ
56,IBM,International Business Machines Corporation,279897833472,297.8,264.22,28387392,212.34,324.9,324.9,-252322200.0,1784750400,Technology,Information Technology Services,NYQ
57,SNDK,Sandisk Corporation,251009171456,1694.98,1641.64,8684514,36.207,1708.825,1708.825,1739457000.0,1777579200,Technology,Computer Hardware,NMS
